G1	G2A_L	G2B_L	A	B	C	Y0_L	Y1_L	Y2_L	Y3_L	Y4_L	Y5_L	Y6_L	Y7_L
0	0	0	0	0	0	1	1	1	1	1	1	1	1
0	0	0	0	0	1	1	1	1	1	1	1	1	1
0	0	0	0	1	0	1	1	1	1	1	1	1	1
0	0	0	0	1	1	1	1	1	1	1	1	1	1
0	0	0	1	0	0	1	1	1	1	1	1	1	1
0	0	0	1	0	1	1	1	1	1	1	1	1	1
0	0	0	1	1	0	1	1	1	1	1	1	1	1
0	0	0	1	1	1	1	1	1	1	1	1	1	1
0	0	1	0	0	0	1	1	1	1	1	1	1	1
0	0	1	0	0	1	1	1	1	1	1	1	1	1
0	0	1	0	1	0	1	1	1	1	1	1	1	1
0	0	1	0	1	1	1	1	1	1	1	1	1	1
0	0	1	1	0	0	1	1	1	1	1	1	1	1
0	0	1	1	0	1	1	1	1	1	1	1	1	1
0	0	1	1	1	0	1	1	1	1	1	1	1	1
0	0	1	1	1	1	1	1	1	1	1	1	1	1
0	1	0	0	0	0	1	1	1	1	1	1	1	1
0	1	0	0	0	1	1	1	1	1	1	1	1	1
0	1	0	0	1	0	1	1	1	1	1	1	1	1
0	1	0	0	1	1	1	1	1	1	1	1	1	1
0	1	0	1	0	0	1	1	1	1	1	1	1	1
0	1	0	1	0	1	1	1	1	1	1	1	1	1
0	1	0	1	1	0	1	1	1	1	1	1	1	1
0	1	0	1	1	1	1	1	1	1	1	1	1	1
0	1	1	0	0	0	1	1	1	1	1	1	1	1
0	1	1	0	0	1	1	1	1	1	1	1	1	1
0	1	1	0	1	0	1	1	1	1	1	1	1	1
0	1	1	0	1	1	1	1	1	1	1	1	1	1
0	1	1	1	0	0	1	1	1	1	1	1	1	1
0	1	1	1	0	1	1	1	1	1	1	1	1	1
0	1	1	1	1	0	1	1	1	1	1	1	1	1
0	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0	0	0	0	0	0	1	1	1	1	1	1	1
1	0	0	0	0	1	1	1	1	1	0	1	1	1
1	0	0	0	1	0	1	1	0	1	1	1	1	1
1	0	0	0	1	1	1	1	1	1	1	1	0	1
1	0	0	1	0	0	1	0	1	1	1	1	1	1
1	0	0	1	0	1	1	1	1	1	1	0	1	1
1	0	0	1	1	0	1	1	1	0	1	1	1	1
1	0	0	1	1	1	1	1	1	1	1	1	1	0
1	0	1	0	0	0	1	1	1	1	1	1	1	1
1	0	1	0	0	1	1	1	1	1	1	1	1	1
1	0	1	0	1	0	1	1	1	1	1	1	1	1
1	0	1	0	1	1	1	1	1	1	1	1	1	1
1	0	1	1	0	0	1	1	1	1	1	1	1	1
1	0	1	1	0	1	1	1	1	1	1	1	1	1
1	0	1	1	1	0	1	1	1	1	1	1	1	1
1	0	1	1	1	1	1	1	1	1	1	1	1	1
1	1	0	0	0	0	1	1	1	1	1	1	1	1
1	1	0	0	0	1	1	1	1	1	1	1	1	1
1	1	0	0	1	0	1	1	1	1	1	1	1	1
1	1	0	0	1	1	1	1	1	1	1	1	1	1
1	1	0	1	0	0	1	1	1	1	1	1	1	1
1	1	0	1	0	1	1	1	1	1	1	1	1	1
1	1	0	1	1	0	1	1	1	1	1	1	1	1
1	1	0	1	1	1	1	1	1	1	1	1	1	1
1	1	1	0	0	0	1	1	1	1	1	1	1	1
1	1	1	0	0	1	1	1	1	1	1	1	1	1
1	1	1	0	1	0	1	1	1	1	1	1	1	1
1	1	1	0	1	1	1	1	1	1	1	1	1	1
1	1	1	1	0	0	1	1	1	1	1	1	1	1
1	1	1	1	0	1	1	1	1	1	1	1	1	1
1	1	1	1	1	0	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1

