I0	I1	I2	I4	I5	I3	I6	I7	O0	O1	O2
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	1	1	1
0	0	0	0	0	0	1	0	1	1	0
0	0	0	0	0	0	1	1	1	1	0
0	0	0	0	0	1	0	0	0	1	1
0	0	0	0	0	1	0	1	0	1	1
0	0	0	0	0	1	1	0	0	1	1
0	0	0	0	0	1	1	1	0	1	1
0	0	0	0	1	0	0	0	1	0	1
0	0	0	0	1	0	0	1	1	0	1
0	0	0	0	1	0	1	0	1	0	1
0	0	0	0	1	0	1	1	1	0	1
0	0	0	0	1	1	0	0	0	1	1
0	0	0	0	1	1	0	1	0	1	1
0	0	0	0	1	1	1	0	0	1	1
0	0	0	0	1	1	1	1	0	1	1
0	0	0	1	0	0	0	0	1	0	0
0	0	0	1	0	0	0	1	1	0	0
0	0	0	1	0	0	1	0	1	0	0
0	0	0	1	0	0	1	1	1	0	0
0	0	0	1	0	1	0	0	0	1	1
0	0	0	1	0	1	0	1	0	1	1
0	0	0	1	0	1	1	0	0	1	1
0	0	0	1	0	1	1	1	0	1	1
0	0	0	1	1	0	0	0	1	0	0
0	0	0	1	1	0	0	1	1	0	0
0	0	0	1	1	0	1	0	1	0	0
0	0	0	1	1	0	1	1	1	0	0
0	0	0	1	1	1	0	0	0	1	1
0	0	0	1	1	1	0	1	0	1	1
0	0	0	1	1	1	1	0	0	1	1
0	0	0	1	1	1	1	1	0	1	1
0	0	1	0	0	0	0	0	0	1	0
0	0	1	0	0	0	0	1	0	1	0
0	0	1	0	0	0	1	0	0	1	0
0	0	1	0	0	0	1	1	0	1	0
0	0	1	0	0	1	0	0	0	1	0
0	0	1	0	0	1	0	1	0	1	0
0	0	1	0	0	1	1	0	0	1	0
0	0	1	0	0	1	1	1	0	1	0
0	0	1	0	1	0	0	0	0	1	0
0	0	1	0	1	0	0	1	0	1	0
0	0	1	0	1	0	1	0	0	1	0
0	0	1	0	1	0	1	1	0	1	0
0	0	1	0	1	1	0	0	0	1	0
0	0	1	0	1	1	0	1	0	1	0
0	0	1	0	1	1	1	0	0	1	0
0	0	1	0	1	1	1	1	0	1	0
0	0	1	1	0	0	0	0	0	1	0
0	0	1	1	0	0	0	1	0	1	0
0	0	1	1	0	0	1	0	0	1	0
0	0	1	1	0	0	1	1	0	1	0
0	0	1	1	0	1	0	0	0	1	0
0	0	1	1	0	1	0	1	0	1	0
0	0	1	1	0	1	1	0	0	1	0
0	0	1	1	0	1	1	1	0	1	0
0	0	1	1	1	0	0	0	0	1	0
0	0	1	1	1	0	0	1	0	1	0
0	0	1	1	1	0	1	0	0	1	0
0	0	1	1	1	0	1	1	0	1	0
0	0	1	1	1	1	0	0	0	1	0
0	0	1	1	1	1	0	1	0	1	0
0	0	1	1	1	1	1	0	0	1	0
0	0	1	1	1	1	1	1	0	1	0
