I1	I2	I3	I4	I5	I6	I7	NoError	O1	O2	O3	O4	O5	O6	O7
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	1	0	1	0	0	0	0	1	1
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	1	0	0	1	0	0	1	0	1
0	0	0	0	1	1	0	0	0	0	1	0	1	1	0
0	0	0	0	1	1	1	0	0	0	0	1	1	1	1
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	1	0	0	0	1	1	0	0	1
0	0	0	1	0	1	0	0	1	1	0	1	0	1	0
0	0	0	1	0	1	1	0	0	0	0	1	1	1	1
0	0	0	1	1	0	0	0	1	0	0	1	1	0	0
0	0	0	1	1	0	1	0	0	0	0	1	1	1	1
0	0	0	1	1	1	0	0	0	0	0	1	1	1	1
0	0	0	1	1	1	1	1	0	0	0	1	1	1	1
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	1	0	0	0	1	1	0	0	1
0	0	1	0	0	1	0	0	0	0	1	0	1	1	0
0	0	1	0	0	1	1	0	0	1	1	0	0	1	1
0	0	1	0	1	0	0	0	0	0	1	0	1	1	0
0	0	1	0	1	0	1	0	1	0	1	0	1	0	1
0	0	1	0	1	1	0	1	0	0	1	0	1	1	0
0	0	1	0	1	1	1	0	0	0	1	0	1	1	0
0	0	1	1	0	0	0	0	0	0	1	1	0	0	1
0	0	1	1	0	0	1	1	0	0	1	1	0	0	1
0	0	1	1	0	1	0	0	1	0	1	1	0	1	0
0	0	1	1	0	1	1	0	0	0	1	1	0	0	1
0	0	1	1	1	0	0	0	0	1	1	1	1	0	0
0	0	1	1	1	0	1	0	0	0	1	1	0	0	1
0	0	1	1	1	1	0	0	0	0	1	0	1	1	0
0	0	1	1	1	1	1	0	0	0	0	1	1	1	1
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	1	0	0	1	0	0	1	0	1
0	1	0	0	0	1	0	0	0	1	0	1	0	1	0
